# SAT Vocabulary Master List (Final - 372 words)
# Combined from:
#   - vocabulary_frequency_list.txt (freq >= 3, appearing in passages)
#   - vocabulary_answer_frequency_clean.txt (correct answers in vocab questions)
# Total unique words: 372
# Filtered to remove:
#   - Top 4000 common words (21 words removed)
#   - Words without SAT contexts (20 words removed)
#
# Format: Word | Passages | Answer | Total
================================================================================

novel | 232 | 0 | 232
transition | 208 | 0 | 208
sound | 96 | 0 | 96
indigenous | 87 | 0 | 87
emphasize | 78 | 0 | 78
tend | 70 | 0 | 70
determine | 59 | 0 | 59
latitude | 59 | 0 | 59
air | 58 | 0 | 58
material | 54 | 0 | 54
approach | 53 | 0 | 53
unique | 49 | 0 | 49
phenomenon | 48 | 0 | 48
transfer | 47 | 0 | 47
compound | 46 | 0 | 46
conversely | 43 | 3 | 46
means | 44 | 0 | 44
variety | 41 | 0 | 41
abstract | 37 | 0 | 37
aesthetic | 36 | 0 | 36
pupil | 35 | 0 | 35
fungi | 34 | 0 | 34
vary | 34 | 0 | 34
simulated | 32 | 0 | 32
clade | 30 | 0 | 30
resolution | 30 | 0 | 30
variation | 30 | 0 | 30
pedestrian | 29 | 0 | 29
precipitation | 28 | 0 | 28
assertion | 27 | 0 | 27
content | 27 | 0 | 27
transmission | 27 | 0 | 27
distinct | 26 | 0 | 26
context | 25 | 0 | 25
demonstrate | 25 | 0 | 25
end | 25 | 0 | 25
temperate | 25 | 0 | 25
exhibit | 24 | 0 | 24
nostalgia | 24 | 0 | 24
spontaneous | 24 | 0 | 24
vast | 24 | 0 | 24
maintain | 22 | 0 | 22
solitary | 22 | 0 | 22
volume | 22 | 0 | 22
illustrate | 21 | 0 | 21
inflation | 21 | 0 | 21
primary | 21 | 0 | 21
acclaimed | 20 | 0 | 20
fashion | 20 | 0 | 20
discrepancy | 19 | 0 | 19
velocity | 19 | 0 | 19
yield | 19 | 0 | 19
ambient | 18 | 0 | 18
critical | 18 | 0 | 18
distinction | 18 | 0 | 18
diversity | 18 | 0 | 18
extant | 17 | 0 | 17
vulnerable | 17 | 0 | 17
attributable | 16 | 0 | 16
extensive | 15 | 0 | 15
hypothetical | 15 | 0 | 15
inherent | 15 | 0 | 15
fair | 14 | 0 | 14
premium | 14 | 0 | 14
promote | 14 | 0 | 14
relief | 14 | 0 | 14
want | 14 | 0 | 14
becoming | 13 | 0 | 13
convey | 13 | 0 | 13
lay | 13 | 0 | 13
minute | 13 | 0 | 13
mitigate | 12 | 1 | 13
captive | 12 | 0 | 12
elicit | 12 | 0 | 12
generate | 12 | 0 | 12
norms | 12 | 0 | 12
perceive | 12 | 0 | 12
prominence | 12 | 0 | 12
proximity | 12 | 0 | 12
utilitarian | 12 | 0 | 12
wade | 12 | 0 | 12
conventional | 11 | 0 | 11
eclipse | 11 | 0 | 11
extent | 11 | 0 | 11
foster | 11 | 0 | 11
intricate | 11 | 0 | 11
prose | 11 | 0 | 11
radical | 11 | 0 | 11
seismic | 11 | 0 | 11
widespread | 11 | 0 | 11
establish | 10 | 1 | 11
accustomed to | 10 | 0 | 10
capture | 10 | 0 | 10
constitution | 10 | 0 | 10
counterintuitive | 10 | 0 | 10
dominant | 10 | 0 | 10
draw | 10 | 0 | 10
expedition | 10 | 0 | 10
induce | 10 | 0 | 10
span | 10 | 0 | 10
terrestrial | 10 | 0 | 10
weather | 10 | 0 | 10
counteract | 9 | 1 | 10
imposing | 8 | 2 | 10
synthesis | 7 | 3 | 10
agglomeration | 9 | 0 | 9
